company_id,company_name,domain,tier,score,vla_classification,vla_evidence_url,vla_evidence_quote,one_line_description,vertical
c040,Generative Bionics,gbionics.ai,1,85,vla_active,https://github.com/gbionics,61 public repos; active lerobot fork pushed today plus URDF/yarp tooling,"IIT-spinout humanoid-robotics startup, EUR70M seed",humanoid_industrial
c187,X Square Robot,xsquare.ai,1,81,vla_active,https://www.therobotreport.com/x-square-robot-secures-140m-in-funding-for-ai-foundation-models/,WALL-A combines vision-language-action models with world models for manipulation,"WALL-A VLA + world model robot foundation models, Shenzhen",humanoid_general
c117,Flexion,flexion.ai,1,79,vla_active,https://flexion.ai/careers,language-level reasoning vision-language-action motion generation,Synthetic-data humanoid autonomy software,humanoid_general
c027,Genesis AI,genesis-ai.company,1,79,vla_active,https://github.com/Genesis-Embodied-AI,Genesis simulator and foundation models for robotics control; quadrants compiler,"Generalist physical-AI lab with $105M seed, foundation-model focus",humanoid_general
c056,TII,tii.ae,2,75,vla_active,https://github.com/tiiuae/openvla-internal,OpenVLA an open-source vision-language-action model for robotic manipulation,"UAE government AI research institute, openvla fork",research_only
c178,Galbot,galbot.com,1,74,vla_active,https://www.therobotreport.com/galbot-brings-in-300m-to-scale-mobile-manipulator-deployments/,Full-stack in-house development across hundreds-of-billion-scale datasets and embodied foundation models,"G1 mobile manipulator with embodied foundation models, Beijing",mobile_manipulator_other
c014,RLWRLD,rlwrld.ai,2,72,vla_active,https://github.com/RLWRLD,Active LeRobot Isaac-GR00T-no-lfs Triton-server VisionProTeleop forks 2025,Korean industrial robotics foundation model startup,humanoid_industrial
c081,FieldAI,fieldai.com,2,70,vla_active,https://fieldai.com/careers,blending cutting-edge data-driven techniques with principled mathematical rigor,Foundation models for embodied robot autonomy,humanoid_general
c058,Nomagic,nomagic.ai,1,70,vla_active,https://github.com/nomagiclab/openvla,OpenVLA fork,Warehouse pick-and-place AI robotics,mobile_manipulator_warehouse
c064,Ebots,ebots.com,1,70,vla_active,https://github.com/ebots-inc,Active openpi GR00T-Dreams Cosmos-predict2.5 Isaac-GR00T forks pushed 2026,"Precision-assembly manipulator robotics with foundation-model push, Series A",mobile_manipulator_other
c003,Pollen Robotics,pollen-robotics.com,1,70,vla_active,https://github.com/pollen-robotics/lerobot,LeRobot End-to-end Learning for Real-World Robotics,Open-source Reachy humanoid acquired by Hugging Face April 2025,humanoid_general
c228,AgiBot,agibot.com,2,70,vla_active,https://www.agibot.com/,AGIBOT World Dataset enterprise quality realistic task dataset for embodied AI,Chinese humanoid mass-production leader (Zhiyuan Robotics),humanoid_general
c172,Sereact,sereact.ai,2,69,vla_active,https://theaiinsider.tech/2026/04/27/sereact-raises-110m-in-series-b-funding-to-expand-warehouse-robotics-platform/,Cortex 2.0 combines a vision-language-action model with a world model,VLA + world model warehouse picking platform,mobile_manipulator_warehouse
c001,D-Robotics,d-robotics.cc,2,65,vla_active,https://github.com/D-Robotics/openpi,Add x86 server and training config based official openpi,Edge AI dev kits with active openpi fork,research_only
c139,LimX Dynamics,limxdynamics.com,2,65,vla_active,https://www.limxdynamics.com/en,FluxVLA Engine Standardized VLA Engineering Foundation,Modular humanoid and biped robots with VLA stack,humanoid_general
c046,General Robotics,generalrobotics.company,2,65,vla_active,https://github.com/GenRobo,Active Isaac-GR00T fork plus DreamControl whole-body humanoid diffusion paper,GRID unified robot intelligence platform; Accenture-backed,humanoid_general
c012,phospho,phospho.ai,2,65,vla_active,https://github.com/phospho-app/openpi,Active openpi and openvla forks plus phosphobot for SO-100/SO-101,YC robotics SDK + low-cost hardware kits France,research_only
