company_id,company_name,domain,tier,score,vla_classification,vla_evidence_url,vla_evidence_quote,one_line_description,vertical
c377,GEN-0 / Generalist AI,generalistai.com,2,85,vla_active,https://generalistai.com/blog/nov-04-2025-GEN-0,GEN-0 embodied foundation model 1B-10B+ params 270000 hours manipulation data,Embodied foundation model trained on 270k hours manipulation,humanoid_general
c439,Hexagon Robotics,hexagon-robotics.com,1,85,vla_active,https://blogs.nvidia.com/blog/hexagon-robotics-ai-software-aeon-humanoid/,Hexagon is post-training Nvidia Isaac GR00T N1.5 open foundation model for AEON humanoid policies,"AEON wheeled humanoid for industrial use, Zurich; BMW deployed",humanoid_industrial
c442,The Bot Company,thebotcompany.com,2,85,vla_active,https://www.therobotreport.com/the-bot-company-led-by-kyle-vogt-brings-in-another-150m/,latest funding round will help build out hardware and artificial intelligence for household robots,"Kyle Vogt home robot startup, multimodal foundation models",consumer_home
c353,Rhoda AI,rhoda.ai,2,80,vla_active,https://www.businesswire.com/news/home/20260310715139/en/Rhoda-AI-Exits-Stealth-with-$450-Million-Series-A-to-Bring-Robots-Out-of-the-Lab-and-Into-the-Real-World,FutureVision video-predictive control foundation model trained on internet-scale video,FutureVision video-predictive control foundation model robotics,humanoid_general
c354,AI2 Robotics,ai2robotics.com,2,80,vla_active,https://newmarketpitch.com/blogs/news/robotics-funding-news,combines proprietary robot hardware with foundation models,Embodied foundation model robots AlphaBot China,humanoid_general
c332,Nuro,nuro.ai,2,80,vla_likely,https://nuro.ai/careers,AI-first self-driving system Nuro Driver universal autonomy platform for all roads,"Autonomous driving licensing platform, $2.3B raised, Series E",mobile_manipulator_other
c390,Humanoid (UK),thehumanoid.ai,2,77,vla_active,https://thehumanoid.ai,KinetIQ AI Framework leveraging VLM and Vision-Language-Action based framework,London general-purpose humanoid HMND 01 with VLA-based KinetIQ stack,humanoid_general
c437,Humble Robotics,humblerobotics.ai,2,77,vla_active,https://theaiinsider.tech/2026/04/22/humble-emerges-from-stealth-with-24m-in-seed-funding-for-autonomous-cabless-electric-freight-hauling/,Software stack built on vision-language-action models to interpret surroundings and make decisions,"Cabless autonomous electric freight hauler running VLA models, SF",last_mile_delivery
c449,Periodic Labs,periodic.com,2,75,vla_likely,https://jobs.ashbyhq.com/periodic-labs,LLM Inference Engineer; Research Engineer Lab Automation,"AI scientists plus autonomous wet-lab for materials discovery, $300M seed",research_only
c364,Telexistence,tx-inc.com,1,75,vla_active,https://tx-inc.com/en/blog/2025/09/30/12542/,Astra humanoid robot equipped with Vision-Language-Action VLA foundation model,"Japan retail humanoid with VLA foundation model, Seven-Eleven partnership",humanoid_industrial
c340,Mimic Robotics,mimicrobotics.com,2,72,vla_active,,,"ETH spinout dexterous-hand foundation models, Zurich seed $16M",humanoid_industrial
c352,AMI,,2,70,vla_likely,https://tech.eu/2026/04/14/europes-biggest-seed-rounds-of-q1-2026-top-tech-startups-to-watch/,world models AI systems to understand and interact with the real world,World models AI for physical environments Paris,research_only
c381,General Intuition,generalintuition.com,2,70,vla_active,https://techcrunch.com/2025/10/16/general-intuition-lands-134m-seed-to-teach-agents-spatial-reasoning-using-video-game-clips/,Train ML models on large-scale video-game data teaching AI spatial-temporal reasoning for embodied agents,"Spatial-reasoning world-model startup for games, robotics and drones",research_only
c382,Sharpa,sharpa.com,2,67,vla_active,https://www.sharpa.com/blogs/news/sharpa-aims-to-manufacture-time-via-its-craftnet-vtla-model-and-stuns-ces-2026-with-live-autonomous-demos-for-fine-manipulation,CraftNet end-to-end hierarchical VTLA model for fine manipulation,Singapore VTLA dexterous hand and humanoid (CES 2026 winner),humanoid_general
